iter	Passed	Remaining
0	59	119892
1	104	104626
2	147	98424
3	192	95878
4	235	93939
5	281	93398
6	327	93196
7	367	91480
8	414	91741
9	462	91973
10	506	91515
11	551	91437
12	598	91413
13	644	91475
14	689	91178
15	732	90872
16	777	90715
17	819	90286
18	863	89983
19	907	89820
20	950	89568
21	992	89236
22	1035	88990
23	1078	88831
24	1120	88539
25	1160	88098
26	1201	87762
27	1241	87464
28	1282	87192
29	1325	87061
30	1366	86784
31	1409	86660
32	1449	86388
33	1488	86096
34	1528	85838
35	1569	85626
36	1609	85365
37	1649	85182
38	1691	85067
39	1730	84800
40	1771	84649
41	1809	84353
42	1848	84139
43	1887	83909
44	1926	83707
45	1968	83603
46	2008	83466
47	2049	83329
48	2086	83059
49	2123	82809
50	2161	82591
51	2201	82470
52	2240	82306
53	2278	82108
54	2316	81915
55	2354	81735
56	2392	81547
57	2431	81410
58	2471	81319
59	2511	81199
60	2550	81065
61	2586	80862
62	2623	80659
63	2661	80511
64	2698	80337
65	2735	80162
66	2772	79988
67	2809	79813
68	2846	79649
69	2884	79535
70	2921	79386
71	2959	79249
72	2995	79077
73	3032	78925
74	3075	78928
75	3117	78915
76	3156	78821
77	3192	78674
78	3230	78554
79	3268	78438
80	3305	78314
81	3344	78227
82	3382	78127
83	3421	78039
84	3457	77890
85	3497	77836
86	3533	77695
87	3573	77636
88	3611	77539
89	3650	77468
90	3687	77366
91	3724	77246
92	3761	77126
93	3800	77059
94	3837	76956
95	3875	76872
96	3915	76817
97	3956	76794
98	4003	76881
99	4045	76867
100	4089	76884
101	4137	76991
102	4182	77030
103	4219	76927
104	4258	76861
105	4295	76753
106	4332	76650
107	4370	76567
108	4408	76487
109	4446	76393
110	4485	76332
111	4521	76219
112	4559	76135
113	4595	76029
114	4632	75933
115	4671	75870
116	4709	75796
117	4747	75711
118	4784	75623
119	4820	75525
120	4859	75462
121	4898	75397
122	4936	75329
123	4973	75245
124	5010	75154
125	5047	75069
126	5084	74985
127	5122	74920
128	5163	74886
129	5200	74808
130	5237	74728
131	5274	74649
132	5311	74562
133	5348	74481
134	5385	74406
135	5424	74348
136	5461	74271
137	5498	74192
138	5535	74112
139	5574	74058
140	5612	73999
141	5650	73935
142	5687	73861
143	5725	73788
144	5761	73710
145	5798	73631
146	5835	73559
147	5874	73505
148	5911	73441
149	5949	73377
150	5986	73307
151	6023	73227
152	6060	73167
153	6098	73100
154	6137	73056
155	6175	72991
156	6211	72920
157	6248	72847
158	6286	72785
159	6322	72707
160	6359	72637
161	6397	72579
162	6435	72526
163	6471	72454
164	6511	72413
165	6547	72341
166	6585	72281
167	6623	72223
168	6660	72158
169	6697	72091
170	6734	72033
171	6771	71970
172	6809	71913
173	6847	71861
174	6887	71829
175	6925	71772
176	6966	71750
177	7006	71717
178	7044	71662
179	7081	71599
180	7118	71542
181	7155	71479
182	7195	71440
183	7233	71393
184	7271	71334
185	7308	71278
186	7346	71224
187	7386	71196
188	7424	71141
189	7460	71074
190	7499	71025
191	7537	70973
192	7575	70928
193	7618	70920
194	7656	70867
195	7693	70814
196	7730	70749
197	7767	70690
198	7805	70639
199	7845	70605
200	7883	70555
201	7924	70533
202	7961	70476
203	7999	70429
204	8036	70368
205	8077	70347
206	8116	70306
207	8152	70240
208	8190	70187
209	8227	70126
210	8263	70062
211	8308	70072
212	8346	70021
213	8383	69963
214	8419	69897
215	8454	69830
216	8490	69764
217	8528	69714
218	8566	69664
219	8604	69614
220	8640	69556
221	8679	69514
222	8716	69462
223	8756	69426
224	8794	69380
225	8834	69343
226	8871	69288
227	8908	69232
228	8946	69187
229	8983	69133
230	9021	69090
231	9061	69053
232	9101	69019
233	9138	68966
234	9170	68877
235	9210	68843
236	9243	68764
237	9278	68693
238	9312	68616
239	9346	68541
240	9381	68470
241	9416	68404
242	9450	68331
243	9485	68263
244	9517	68179
245	9551	68101
246	9584	68021
247	9619	67956
248	9653	67883
249	9687	67809
250	9720	67732
251	9754	67663
252	9785	67572
253	9818	67491
254	9852	67424
255	9882	67327
256	9916	67255
257	9952	67195
258	9986	67131
259	10021	67068
260	10056	67006
261	10092	66947
262	10127	66889
263	10162	66827
264	10197	66761
265	10231	66696
266	10268	66648
267	10304	66592
268	10340	66541
269	10377	66495
270	10414	66446
271	10461	66460
272	10500	66426
273	10538	66385
274	10577	66349
275	10615	66305
276	10652	66260
277	10689	66213
278	10728	66178
279	10765	66130
280	10801	66078
281	10839	66037
282	10877	65993
283	10914	65951
284	10953	65914
285	10992	65877
286	11030	65834
287	11068	65798
288	11107	65759
289	11145	65719
290	11181	65670
291	11219	65624
292	11255	65576
293	11292	65526
294	11329	65481
295	11369	65453
296	11406	65403
297	11442	65355
298	11478	65299
299	11514	65247
300	11551	65201
301	11588	65158
302	11623	65100
303	11660	65051
304	11696	65001
305	11732	64950
306	11770	64910
307	11808	64872
308	11847	64833
309	11884	64790
310	11922	64748
311	11959	64702
312	11996	64655
313	12033	64612
314	12071	64572
315	12108	64526
316	12145	64482
317	12183	64440
318	12221	64402
319	12260	64365
320	12297	64320
321	12334	64277
322	12371	64233
323	12410	64197
324	12450	64168
325	12494	64157
326	12531	64114
327	12568	64070
328	12606	64029
329	12644	63990
330	12681	63942
331	12719	63901
332	12755	63853
333	12792	63810
334	12829	63764
335	12867	63727
336	12905	63684
337	12943	63646
338	12979	63595
339	13016	63553
340	13054	63510
341	13091	63467
342	13128	63424
343	13166	63383
344	13203	63337
345	13240	63293
346	13276	63244
347	13313	63200
348	13351	63159
349	13389	63121
350	13426	63075
351	13462	63030
352	13501	62994
353	13540	62959
354	13579	62924
355	13618	62891
356	13656	62848
357	13693	62804
358	13729	62759
359	13766	62713
360	13804	62672
361	13845	62650
362	13883	62607
363	13920	62566
364	13957	62521
365	13993	62475
366	14030	62430
367	14069	62393
368	14105	62348
369	14143	62307
370	14187	62295
371	14227	62265
372	14270	62246
373	14312	62223
374	14349	62181
375	14388	62146
376	14425	62104
377	14463	62060
378	14499	62016
379	14537	61975
380	14573	61928
381	14611	61888
382	14651	61856
383	14688	61812
384	14725	61769
385	14763	61730
386	14801	61690
387	14839	61651
388	14878	61616
389	14915	61574
390	14952	61531
391	14996	61517
392	15033	61473
393	15071	61431
394	15109	61394
395	15147	61353
396	15183	61307
397	15220	61266
398	15258	61223
399	15295	61182
400	15334	61146
401	15371	61104
402	15407	61057
403	15445	61016
404	15482	60973
405	15520	60935
406	15558	60897
407	15595	60854
